Temporal Analysis Results:

Cluster 0:
Monthly Israeli Mentions:
month
2023-10    6
2023-11    1
2023-12    1
2024-01    4
2024-02    2
2024-03    3
2024-04    2
2024-05    3
2024-06    2
2024-07    1
2024-09    2
2024-10    2
2024-12    1
2025-01    1
Freq: M

Monthly Palestinian Mentions:
month
2023-10    7
2023-11    6
2023-12    1
2024-01    7
2024-02    5
2024-03    6
2024-04    5
2024-05    6
2024-06    1
2024-08    2
2024-09    2
2024-10    2
2024-12    1
2025-01    1
2025-02    3
2025-03    1
Freq: M

Monthly Sentiment:
month
2023-10    0.187500
2023-11   -1.000000
2023-12   -0.500000
2024-01   -0.444444
2024-02   -0.600000
2024-03   -0.625000
2024-04   -0.785714
2024-05   -0.562500
2024-06   -0.250000
2024-07   -1.000000
2024-08    0.000000
2024-09   -1.000000
2024-10   -1.000000
2024-12   -0.500000
2025-01    0.000000
2025-02   -1.000000
2025-03    1.000000
Freq: M

Cluster 1:
Monthly Israeli Mentions:
month
2023-10    7
2023-11    3
2023-12    3
2024-01    2
2024-02    3
2024-03    1
2024-04    2
2024-05    6
2024-06    1
2024-07    1
2024-08    1
2024-09    2
2024-10    1
2024-11    1
Freq: M

Monthly Palestinian Mentions:
month
2023-10    5
2023-11    5
2023-12    4
2024-01    3
2024-02    4
2024-03    2
2024-04    3
2024-05    6
2024-06    1
2024-07    4
2024-08    2
2024-09    2
2024-10    1
2024-12    1
2025-02    1
Freq: M

Monthly Sentiment:
month
2023-10    0.750000
2023-11    0.416667
2023-12    0.000000
2024-01    0.375000
2024-02    1.000000
2024-03   -0.125000
2024-04    0.750000
2024-05   -0.611111
2024-06    0.750000
2024-07    0.875000
2024-08    1.000000
2024-09   -0.333333
2024-10   -1.000000
2024-11    1.000000
2024-12    0.500000
2025-02    1.000000
Freq: M

Cluster 2:
Monthly Israeli Mentions:
month
2023-10    19
2023-11     7
2023-12     2
2024-01     7
2024-02     2
2024-03     3
2024-04     2
2024-05     4
2024-06     2
2024-07     2
2024-08     1
2024-09     1
2024-10     3
2024-11     2
2025-01     2
Freq: M

Monthly Palestinian Mentions:
month
2023-10    16
2023-11    11
2023-12    10
2024-01     7
2024-02     2
2024-03     5
2024-04     2
2024-05     5
2024-06     2
2024-07     2
2024-08     3
2024-09     1
2024-10     2
2024-11     1
2025-01     1
2025-02     1
Freq: M

Monthly Sentiment:
month
2023-10   -0.160000
2023-11   -0.607143
2023-12    0.076923
2024-01   -0.041667
2024-02    0.250000
2024-03   -0.357143
2024-04    0.500000
2024-05   -0.062500
2024-06    0.250000
2024-07    0.400000
2024-08   -0.200000
2024-09   -1.000000
2024-10   -0.125000
2024-11    0.000000
2025-01   -1.000000
2025-02    0.500000
Freq: M

Cluster 3:
Monthly Israeli Mentions:
month
2023-10    12
2023-11     8
2023-12     5
2024-01     4
2024-02     3
2024-03     4
2024-04     7
2024-05     6
2024-06     2
2024-07     8
2024-08     5
2024-09     6
2024-10     3
2024-11     2
2025-01     5
2025-02     2
Freq: M

Monthly Palestinian Mentions:
month
2023-10    15
2023-11    12
2023-12     8
2024-01    11
2024-02     8
2024-03     7
2024-04     8
2024-05    15
2024-06     6
2024-07     7
2024-08     3
2024-09     5
2024-10     2
2024-11     1
2025-01     7
2025-02     4
Freq: M

Monthly Sentiment:
month
2023-10   -0.550000
2023-11   -0.647059
2023-12   -0.818182
2024-01   -0.500000
2024-02   -0.850000
2024-03   -0.625000
2024-04   -0.875000
2024-05   -0.763158
2024-06   -0.571429
2024-07   -0.863636
2024-08   -0.642857
2024-09   -0.375000
2024-10   -0.600000
2024-11   -1.000000
2025-01    0.050000
2025-02   -1.000000
2025-03   -1.000000
Freq: M

Cluster 4:
Monthly Israeli Mentions:
month
2023-10    14
2023-11     5
2023-12     9
2024-02     4
2024-03     3
2024-04     4
2024-05    12
2024-06     3
2024-07     1
2024-09     2
2024-10     2
2024-11     1
2024-12     1
Freq: M

Monthly Palestinian Mentions:
month
2023-10    14
2023-11    10
2023-12    11
2024-01     2
2024-02     8
2024-03     3
2024-04     4
2024-05    14
2024-06     1
2024-07     1
2024-08     2
2024-10     4
2024-11     1
2024-12     1
2025-01     2
2025-02     7
Freq: M

Monthly Sentiment:
month
2023-10   -0.020833
2023-11   -0.071429
2023-12   -0.222222
2024-01   -0.125000
2024-02   -0.272727
2024-03    0.111111
2024-04    0.312500
2024-05   -0.115385
2024-06   -0.900000
2024-07   -1.000000
2024-08    0.100000
2024-09    0.000000
2024-10   -0.750000
2024-11    0.000000
2024-12    0.500000
2025-01   -0.250000
2025-02   -0.714286
Freq: M
